Page ID,Page name,Disclaimer,Amount spent (EUR)
114200538647103,TS-LKD Utena,TS-LKD Utena,193
464219297442222,Kartu už Utenos kraštą,Kartu už Utenos kraštą,184
1412305759075666,LSDP Utena,LSDP Utena,142
103377383346795,Molėtų rajono žalieji,Lietuvos žaliųjų partija,≤100
103407532663760,Imantas Umbražiūnas,Tėvynės sąjunga-Lietuvos krikščionys demokratai,≤100
100583682963557,Nacionalinis susivienijimas Ignalina,Nacionalinis susivienijimas,≤100
102764809396002,"Demokratai ""Vardan Lietuvos"" Visagino skyrius",Demokratų sąjunga „Vardan Lietuvos“,≤100
332240937383574,Visaginas gali daugiau,Liberalų sąjūdis,≤100
264116120225,Darbo partija,Darbo partija,≤100
2455107328042506,Vitalijus Šeršniovas,Vitalijus Šeršniovas,≤100
153707501325987,Lietuvos Respublikos vyriausioji rinkimų komisija,Lietuvos Respublikos vyriausioji rinkimų komisija,≤100
1042868682476099,Sigitas Mecelica,Lietuvos žaliųjų partija,≤100
271442299683442,Tušti narvai,VšĮ Tušti narvai,≤100
110105941453094,Demokratai „Vardan Lietuvos“,Demokratų sąjunga „Vardan Lietuvos“,≤100
793155160731534,Darbo Partija Klaipėdos rajonas,Darbo partija,≤100
100524364968293,Liberalų Sąjūdis Molėtų skyrius,Liberalų Sąjūdis Molėtų skyrius,≤100
202360056491831,Lietuvos socialdemokratų partija - LSDP,Lietuvos socialdemokratų partija - LSDP,≤100
117601207894453,Kazimieras Pranskus,Tėvynės sąjungos-Lietuvos krikščionys demokratai,≤100
190209177745566,Lietuvos valstiečių ir žaliųjų sąjunga,Lietuvos valstiečių ir žaliųjų sąjunga,≤100
109410628231343,Lietuvos valstiečių ir žaliųjų sąjungos Ignalinos skyrius,Lietuvos valstiečių ir žaliųjų sąjunga,≤100
198376336988413,Palaikom Petrą Gražulį-Tautos IR Teisingumo Sąjungos Pirmininkas,Palaikom Petrą Gražulį-Tautos IR Teisingumo Sąjungos Pirmininkas,≤100
294321730584091,Europos žmogaus teisių fondas - EFHR,Europos žmogaus teisių fondas,≤100
112308534807074,Lietuvos Regionų Partija. Molėtų skyrius,Lietuvos Regionų Partija. Molėtų skyrius,≤100
1535463576688341,Jevgenij Shuklin,Liberalų sąjūdis,≤100
178362315106,European Parliament,European Parliament,≤100
198988713464683,Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD),TS-LKD,≤100
105884998138529,Литва за неделю,Denis Tarasenko,≤100
93535661889,TV3 televizija,TV3 televizija,≤100
198404080183024,Swedbank Lietuvoje,„Swedbank“ Lietuvoje,≤100
308459516429212,Už Agnę,Už Agnę,≤100
1568396196717560,L24.lt/ RU,L24.lt,≤100
103847712206,„Ekonomikos ir politikos žurnalas Valstybė“,Demokratijos plėtros fondas VšĮ,≤100
321962601194780,Anykščių Liberalai,Anykščių Liberalai,≤100
460195401047293,Enefit Lietuva,Enefit Lietuva,≤100
111530930306854,Nacionalinis susivienijimas,Nacionalinis susivienijimas,≤100
62378591336,prof. dr. Vytautas Radžvilas,prof. dr. Vytautas Radžvilas,≤100
105885725745934,Audronė Kaupienė,Tėvynės sąjunga-Lietuvos krikščionys demokratai,≤100
689581947781697,"Žinau, ką renku",Europos namai,≤100
1739968129576961,Mindaugas Puidokas,Puidokas Mindaugas,≤100
102217108452218,Tarptautinis Šiaulių oro uostas,Tarpautinis Šiaulių Oro uostas,≤100
390862381064528,„Swedbank“ jaunimo programa,„Swedbank“ jaunimo programa,≤100
107898832590939,European Commission,European Commission,≤100
187111975181,Knygynų tinklas „Pegasas“,Pegasas,≤100
103869638236737,MSD Lietuva,MSD,≤100
1554709478144624,"Koalicija ""Už laisvę augti""",Už laisvę augti,≤100
2265840653701339,Nepartinė savivalda,Nepartinė savivalda,≤100
185802948122130,Ieva Kačinskaitė-Urbonienė,Darbo partija,≤100
287613331259579,M.G.Maksimalietis,M.G.Maksimalietis,≤100
81004804444,Liberalai,Liberalai,≤100
579315712110823,Dzūkijos TV,Dzūkijos TV,≤100
106573748708049,"Demokratų sąjunga „Vardan Lietuvos“, Jurbarko skyrius",Demokratų sąjunga „Vardan Lietuvos“,≤100
103772035875073,Andrius Gaidys,Andrius Gaidys,≤100
106971448095397,ŽPV prevencija,MSD,≤100
908109372657935,Neįgaliųjų reikalų departamentas prie SADM,Neįgaliųjų reikalų departamentas prie Socialinės apsaugos ir darbo ministerijos,≤100
539214349429850,Vilniaus liberalai,Vilniaus liberalai,≤100
126578638039470,Myriad Capital,"FMĮ ""Myriad capital"", UAB",≤100
105924376125620,Lietuvos žmogaus teisių centras,Lietuvos žmogaus teisių centras,≤100
101601769446589,Socialdemokratai Ukmergėje,Socialdemokratai Ukmergėje,≤100
943920815656380,Laisvos visuomenės institutas,Laisvos visuomenės institutas,≤100
96489601458,Lietuvos liberalus jaunimas,Lietuvos liberalus jaunimas,≤100
525025331028414,Rita Grigalienė,Rita Grigalienė,≤100
1770790246511545,Perkuknyga.lt,Perkuknyga.lt,≤100
114367101538203,Elektrėnų liberalai,Elektrėnų liberalai,≤100
189830997701961,Lietuvos nacionalinis muziejus,Lietuvos nacionalinis muziejus,≤100
790530451326497,Tomas Vytautas Raskevičius,Tomas Vytautas Raskevičius,≤100
1594911447487724,Žurnalistų etikos inspektoriaus tarnyba,Žurnalistų etikos inspektoriaus tarnyba,≤100
122055364525182,LVŽS Kupiškio skyrius,Lietuvos valstiečių ir žaliųjų sąjunga,≤100
106918585332122,"Plungės Demokratai ""Vardan Lietuvos""",Demokratų sąjunga „Vardan Lietuvos“,≤100
2016080275336423,Kęstutis Zinkevičius.,Open Agency,≤100
114022587717031,Mindaugas Kaunas_Plungė,Mindaugas Kaunas,≤100
106204152114843,LVŽS Panevėžio rajono skyrius,"Reklamos ateitis, IĮ",≤100
106883744385707,Evelina Paulavičienė,Evelina Paulavičienė,≤100
169414316438308,Waldemar Tomaszewski / Valdemar Tomaševski,AWPL-ZCHR,≤100
2016080275336423,Kęstutis Zinkevičius.,Kęstutis Zinkevičius,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
136670833106241,LTPF - Lietuvos teisėsaugos pareigūnų federacija,LTPF,≤100
1169985063067512,Bronislovas Matelis,"Open Agency, UAB",≤100
110489657813294,Matas Lasauskas,Matas Lasauskas,≤100
773766692709483,Vilniaus rajono Centro-dešinės koalicija,TS-LKD,≤100
87529545822,Vilniaus jaunimo organizacijų sąjunga Apskritas stalas (VJOSAS),"VILNIAUS JAUNIMO ORGANIZACIJŲ SĄJUNGA ""APSKRITAS STALAS""",≤100
493812891017737,L24.lt/ LT,VšĮ L24Plius,≤100
101403114949853,Robert Duchnevič,Lietuvos socialdemokratų partija - LSDP,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
226830347447361,NordVPN,These ads ran without a disclaimer,≤100
108260530929750,RyanDoank,These ads ran without a disclaimer,≤100
100643069487986,Благодійна Організація «Благодійний фонд «Україна ЦЕ ТИ»,These ads ran without a disclaimer,≤100
