Page ID,Page name,Disclaimer,Amount spent (EUR)
524714174238878,Finanšu ministrija,Finanšu ministrija,≤100
122074554119,EU Social,EU Social,≤100
184096511636333,Progresīvie,PROGRESĪVIE,≤100
326333184059682,TV3 Ziņas,TV3 Ziņas,≤100
595950207185585,Konservatīvie,KONSERVATĪVIE,≤100
178362315106,European Parliament,European Parliament,≤100
212485185449074,Nil Ushakov,"Nils Ušakovs, MEP, Socialists & Democrats Group",≤100
142254092456168,TVNET,TVNET,≤100
633319013488996,Zemkopības ministrija / Ministry of Agriculture of Latvia,Zemkopības Ministrija,≤100
216716380356441,Nils Ušakovs,"Nils Ušakovs, MEP, Socialists & Democrats Group",≤100
215486111795023,Swedbank Latvia,Swedbank Latvia,≤100
1545606205726717,Bez Tabu,TV3 Group,≤100
158021020892930,Apollo.lv,TVNET,≤100
647142032005439,Sadales tīkls,"AS ""Sadales tīkls""",≤100
1895782043985643,Zaļo un Zemnieku savienība,ZZS,≤100
1014461302014447,Degpunktā,TV3 Group,≤100
176171459061779,RUS TVNET,TVNET,≤100
102294959367382,Arnolds Libeks un Raimonds Rublovskis,Arnolds Libeks un Raimonds Rublovskis,≤100
146748317149,Association of LGBT and their friends Mozaika,LGBT un viņu draugu apvienība MOZAĪKA,≤100
110815738563842,Astratv.lv,Jaunā Konservatīvā partija,≤100
549476591732437,Ascendum,Biedrība Ascendum,≤100
146599018696771,NATO,NATO,≤100
313299475456889,iepirkumi.lv,"SIA ""Libera""",≤100
646580578713705,TV3 Play Latvija,TV3 Play Latvija,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
823558797998275,"Jaunatnes organizācija ""Protests""","Jaunatnes organizācija ""Protests""",≤100
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100
263943190472416,Jaunieši attīstībai,"partija ""Latvijas attīstībai""",≤100
118356801554598,EU Food & Farming,These ads ran without a disclaimer,≤100
102062354889119,Jānis Vitenbergs,Nacionālā apvienība,≤100
550751965021284,Success Resources,These ads ran without a disclaimer,≤100
