Page ID,Page name,Disclaimer,Amount spent (COP)
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,62460
370267297019304,Marco Hincapié,Marco Emilio Hincapie Ramirez,45237
130834367164,Red PaPaz,Red PaPaz,16546
655227911200346,Carlos Edward Osorio,Carlos Edward Osorio,10760
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,9263
515010172233659,Alvaro Mantilla,Alvaro Mantilla,5609
856012741442139,Ipas LAC,Neuma,4216
105848177845789,All Out en español,All Out Action Fund,3761
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,2826
68793499001,UNICEF,UNICEF with Facebook Ad Credits,2419
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,2302
1400280116941194,Fabian Diaz,Fabian Diaz,1655
892391797485139,César Alzate,Cesar Alzate Montes,1520
114778278552099,Octavio Cardona León,Octavio Cardona León,1477
103972301485985,Oficina Asesora de Planeación Departamental del Cauca,Constanza Muñoz Muñoz,1447
851680034864966,Proantioquia,FUNDACION PARA EL DESARROLLO DE ANTIOQUIA. ANTIOQUIA POR COLOMBIA,1022
113149344929527,Loly Montañez,Loly Montañez,848
1289070337774136,Alcaldía Puerto Boyacá,Alcaldía Municipal de Puerto Boyacá,729
466445923412524,Miguel Ángel Barreto,Joshua Escobar Rengifo,711
2308381916109967,Libardo Asprilla,Jaimer Cantillo Bello,696
898149710234557,Gobernación de Risaralda,Gobernación de Risaralda,637
110360175730157,sectorial.co,Carlos Andres Escobar Correa,606
295277256700,Concejal María Victoria Vargas Silva,Carmen Pumarejo,578
734195543347719,Javier Julio Bejarano,Javier Julio Bejarano,554
106892197676696,Pedro León Martínez,Pedro León Martínez Sánchez,510
117255605587647,Leonardo Huerta,Leonardo Huerta,488
643513979193133,Unidos por Beatriz,Neuma,472
179003239458192,Jorge Humberto Rangel,Jorge Rangel,430
14302129065,El Espectador,El Espectador,414
268302663513603,Personeria Municipal de Palmira,Personeria Municipal de Palmira,401
185965224778568,Diario Occidente,Nuevo Diario Occidente,284
252640334936797,Skandia Colombia,Kelly Vanessa Cuellar Garces,253
108202298520665,LaDigital.co,La Digital,244
2341225942579432,Edwin Marín Concejal,Edwin Fabian Marin Marin,222
602624820222269,Antonio Garcia,Antonio Jose Garcia De La Rosa,213
102249245462577,Secretaría de Hacienda de Manizales,Eikon Digital S.A.S.,212
170462793024210,Iván Parra,Iván Orlando Parra,210
669760553048012,Alcaldía Local de Kennedy,Alcaldía Local de Kennedy,201
835710939898329,Paulina Aguinaga,Paulina Aguinaga,198
1815626541807349,Agencia de Periodismo Investigativo,Norbey Quevedo Hernandez,193
1319410371405224,Marketing Político,Mauricio Florez-Morris,192
200207836752561,Opinión Caribe,Opinión Caribe,153
283942902558855,Jonathan Roldán Jiménez,José Fernando Valencia Fernández,137
214167541938411,Juan Pablo Gallo,Valeria Cardenas Arias,113
1078814898982272,Óscar Jahir Hernández Rugeles,Oscar Jahir Hernández Rugeles,104
333260000169400,Nariño Vive Underground,José Felix Champutis Calpa,≤100
108459260282,Universidad La Gran Colombia,Universidad La Gran Colombia,≤100
381464961911270,Cruz Roja Antioquia,Cruz Roja Colombiana Seccional Antioquia,≤100
103627111347496,Mario Romero,Mario Romero,≤100
1529335724037224,Aeropuerto del Café,INTUAL,≤100
460297427472944,Corporación  Educativa Politécnico La Salle,Corporación Educativa Politécnico La Salle,≤100
941293005965935,Jonny Portilla Confía Putumayo,Jonny Fernando Portilla Moncayo,≤100
1832438050403942,Amin Losada,Ginna Tatiana Piragauta Guzman,≤100
103727635426939,Alexandra Vásquez Ochoa,Leider Alexandra Vasquez Ochoa,≤100
263766653976952,Periodico El Pregón,Ancizar Giraldo Lozada,≤100
106125295156311,Jose Elner Gonzalez,Jose Elner Gonzalez Azcarate,≤100
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100
102153471654987,La vida en una historia.,These ads ran without a disclaimer,≤100
2013674292193994,EISAF - Instituto Europeo San Francisco,These ads ran without a disclaimer,≤100
105678284687465,"Plants of the Gods: Hallucinogens, Healing, Culture and Conservation.",These ads ran without a disclaimer,≤100
100357715349653,Noticias del Oso,These ads ran without a disclaimer,≤100
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100
315052892482848,Minerva Foods Latam,These ads ran without a disclaimer,≤100
111569254757214,eisaf.es,These ads ran without a disclaimer,≤100
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,≤100
222717911120348,Venus Remedies Limited,These ads ran without a disclaimer,≤100
