Page ID,Page name,Disclaimer,Amount spent (EUR)
102200698451761,Gyimesi György - NRSR,Gyimesi György - NRSR,≤100
194278021265803,Michal Šimečka • Progresívne Slovensko,Progresívne Slovensko,≤100
409652449379928,"Ministerstvo investícií, regionálneho rozvoja a informatizácie SR","Ministerstvo investícií, regionálneho rozvoja a informatizácie Slovenskej republiky",≤100
557862947737785,Progresívne Slovensko,Progresívne Slovensko,≤100
339528979423925,Aktuality.sk,Ringier Slovakia Media s.r.o.,≤100
109669047774695,Brainee.sk,"MAFRA Slovakia, a.s.",≤100
1928247723902365,Humánny pokrok,Humánny pokrok,≤100
106390307409654,Bystriny,Bystriny,≤100
2308492039426614,Úrad vlády Slovenskej republiky,Úrad vlády Slovenskej republiky,≤100
873391256051903,PEPCO Slovensko,PEPCO Slovensko,≤100
163449818290,KDH,KDH,≤100
141217272588202,Ministerstvo zahraničných vecí a európskych záležitostí SR,Ministerstvo zahraničných vecí a európskych záležitostí SR,≤100
747432352095906,Kominarstvo MxM,Jozef Mičko,≤100
107036234016427,Marián Barilla,Marián Barilla,≤100
935929019771603,Sconto Nábytok,These ads ran without a disclaimer,≤100
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,≤100
719361728089991,Peter  Máťoš,Peter Máťoš,≤100
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,≤100
561521547213921,CUS - Centrum účtovníkov Slovenska,"CUS - Centrum účtovníkov Slovenska, s. r. o.",≤100
566178043547804,Schneider Electric,SCHNEIDER ELECTRIC SLOVAKIA,≤100
628172783946255,Dôvera zdravotná poisťovňa,These ads ran without a disclaimer,≤100
730919327293761,Miroslav Radačovský • predseda strany Slovenský Patriot a europoslanec,JUDr. Miroslav Radačovský,≤100
178362315106,European Parliament,European Parliament,≤100
732167026967322,Robert Fico,Robert Fico,≤100
112185743592190,Miloslav Olejár,Miloslav Olejar,≤100
106339661841687,Risoto,Ideamedia,≤100
104936221959583,Úrad na ochranu oznamovateľov,Úrad na ochranu oznamovateľov,≤100
283025969119,Odpady-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,≤100
178878375475789,Energie-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,≤100
104893459551069,Ekotopfilm SK,Ekotopfilm SK,≤100
253595649968,Monika Beňová,Monika Beňová,≤100
324560137683033,Ivan ŠTEFANEC,Ivan Štefanec,≤100
858732787843932,Juraj Šeliga,Juraj Šeliga,≤100
802573516467334,Juraj Blanár,Juraj Blanár,≤100
569734989747868,Poradňa pre občianske a ľudské práva / Center for Civil and Human Rights,Poradňa pre občianske a ľudské práva / Center for Civil and Human Rights,≤100
2687957954762822,Igor Melicher - Mladí Sociálni Demokrati,SMER - SD,≤100
168426906521039,Konzervatívny inštitút M. R. Štefánika,Konzervatívny inštitút M. R. Štefánika,≤100
608493236475568,Pavol Slota • DOMOV - Národná strana,DOMOV národná strana,≤100
103660101145202,DiEM25 na Slovensku,Michal Gabris,≤100
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,≤100
116795486378224,Marián Kéry- poslanec NR SR,SMER - SD,≤100
118645769886785,Klimatická koalícia,Klima Fokus,≤100
281532302344709,Lukáš Čelinák,Lukáš Čelinák,≤100
101273708611409,Výkrik z regiónov,Daniel Kojnok,≤100
106288718665197,Sloboda vierovyznania a presvedčenia,Úrad vlády Slovenskej republiky,≤100
186953775142661,ESET,"ESET, spol. s r.o.",≤100
109606527580798,Politics.social,Gerulata Technologies j. s. a.,≤100
829246250528166,Republiková únia zamestnávateľov,Republiková únia zamestnávateľov,≤100
116570825042936,Café Európa,Zastupenie Europskej komisie na Slovensku,≤100
104809955831406,Progresívny merč,Progresívny inštitút,≤100
119718562044151,Voda-portal.sk,PROPERTY & ENVIRONMENT s.r.o.,≤100
103783119021198,Kam mizne sloboda,Kam mizne sloboda,≤100
109174084975227,Dalimír Solčanský,Dalimír Solčanský,≤100
104531091765973,Michal Pišoja - Moderné nemocnice,Asociácia nemocníc Slovenska,≤100
139025019440898,Inštitút ľudských práv - Human Rights Institute,Inštitút ľudských práv - Human Rights Institute,≤100
492110760982274,Meet the Heroes,Meet the Heroes,≤100
108617908185210,Za slobodu slova,Inštitút pre paradigmatické reformy,≤100
112480654974434,Ivo Hopta,Ivo Hopta,≤100
2322076957827734,Ladislav Kamenický,Ladislav Kamenický,≤100
396331590493376,Miroslav Žiak,Bc. Žiak Miroslav,≤100
2308634932743152,Socialisti,Socialisti.sk,≤100
112480654974434,Ivo Hopta,These ads ran without a disclaimer,≤100
128401833854581,Nagy József,Nagy József,≤100
53798312370,EURACTIV.sk,EURACTIV.sk,≤100
156423157742077,Národná banka Slovenska,Národná banka Slovenska,≤100
156804601028134,Ministerstvo kultúry Slovenskej republiky,Ministerstvo kultúry SR,≤100
106014434867072,Technologies Unions Slovakia,Technologies Unions Slovakia,≤100
100913749294471,Martina Brisudová - poslankyňa NRSR,Martina Brisudová,≤100
107605161927545,Radek Trenčanský • Republika,Radek Trenčanský,≤100
2001358070115171,Jaro Polaček,Jaroslav Polaček,≤100
64670453529,Pipelife International,These ads ran without a disclaimer,≤100
2089964434606957,Liptov pre Ukrajinu,These ads ran without a disclaimer,≤100
1009998019021765,Forró Krisztián,"Szövetség – Magyarok, nemzetiségek, régiók. Aliancia – Maďari, národnosti, regióny.",≤100
110198307912855,Marián Ďuriš • Republika,Marian Duris,≤100
102227341615671,Slovenský Patriot - politická strana,Radačovský Michal,≤100
117754892955994,Braňo Vančo • Progresívne Slovensko,Branislav Vančo,≤100
810794665738940,Liga za ľudské práva / Human Rights League,Liga za ľudské práva / Human Rights League,≤100
105330172030395,Ján Magušin,Ján Magušin,≤100
103273345411090,Freepepo,Alexander Račkovič,≤100
166688783394167,Bratislava - hlavné mesto SR,Mesto Bratislava,≤100
114022154063401,Centrum vzdelávacích analýz,Centrum vzdelávacích analýz,≤100
281189505375741,Simon Zsolt,Simon Zsolt,≤100
109216190454517,Szövetség - Összefogás Platform,SZÖVETSÉG - Magyarok. Nemzetiségek. Regiók. / ALIANCIA - Maďari. Národnosti. Regióny.,≤100
104285237742651,Peter Kmec,Peter Kmec,≤100
109729660454138,CBRE Slovensko,These ads ran without a disclaimer,≤100
107572505087543,AŘOV - Asociace řidičů osobních vozidel,These ads ran without a disclaimer,≤100
