Page ID,Page name,Disclaimer,Amount spent (PYG)
430961180344844,EVER VILLALBA,Ever Federico Villalba Martinez,95168
1468570519872644,Santiago Peña,PRANA SA,14641
241512319274531,Sixto Pereira,Sixto Pereira,12142
110447625137045,Pilar Callizo,PautaPY,9313
102917519228790,Bruno Defelippe,Bruno Defelippe,8643
114448232558658,Jorge Querey,Jorge Osvaldo Querey Rojas,4299
102963512483270,PyElige,PY Elige,3340
325540631525675,En La Tecla,En la Tecla,2585
141678063114851,Ruben Velazquez,Dalva Natividad Acosta Vallejos,2334
1386037631635162,Hugo Ramírez,Nahuel Ayala Gomez,1938
283132325082901,Esperanza Martínez,Esperanza Martinez De Portillo,1837
1608625919447826,Blanca Ovelar Senadora Nacional,Blanca Ovelar Senadora Nacional,1661
118397948223791,Oscar Tuma,Óscar Luis Tuma Bogado,1434
150741961754512,Mercedes Canese Antúnez,Mercedes Canese,1279
118890043360348,Pedro Santa Cruz,Pedro Arthuro Santa Cruz Insaurralde,1112
113351910838827,Alma Cívica,Alma Cívica,1070
1575743279360941,Carlos Cáceres Sarubbi Senador 2023,Carlos Agustin Caceres Sarubbi,1065
517426394969535,Ricardo Canese,Ricardo Canese,933
359307964420456,Terere Cómplice,Meli Olavarrieta,433
101398472410339,Monica Ramirez,Monica Ramirez,431
109041755331821,Esther Roa,Maria Esther Roa De Espinola,281
102649292598442,Senador Hugo Richer,Senador Hugo Richer,261
102887709202228,Pedro Mayor Martinez- Candidato a Senador,Antonio Morinigo,229
102467002671611,Jorge Heisecke,Jorge Heisecke,191
1365651890238610,Soberanía Paraguay,Prensa_Py,181
101113432037400,Laisha cardozo,Laisha Elena Cardozo Acosta,178
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,173
1518537951510136,Sidinei Heinemann Zuse,Sidinei Heinemann Zuse,164
107706177740738,Periodismo 29,Periodismo 29,122
101359268928132,Dr Juan Benitez,Juan Ramon Benitez Rios,102
255852854856739,"Marco Augusto Ferreira, Autor",Marco Augusto Ferreira Acuña,≤100
255852854856739,"Marco Augusto Ferreira, Autor",Marco Augusto Ferreira Acuña,≤100
196599783696918,Efrain Alegre,Efrain Alegre,≤100
1151984808290856,Hugo Portillo,Hugo Portillo,≤100
1403603539906921,Manu Morínigo Chaparro PY,Manu Morínigo Chaparro,≤100
899571623437058,Freddy D'Ecclesiis,Gustavo Cardozo,≤100
614795685343483,Belén Maldonado,Belén Maldonado,≤100
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,≤100
242118359309178,Ricardo Estigarribia,Ricardo Estigarribia,≤100
108562965017764,vaccottifer,These ads ran without a disclaimer,≤100
1810962229216340,Fidel Zavala,Laura Lorena Meaurio Paniagua,≤100
