Page ID,Page name,Disclaimer,Amount spent (EUR)
123310201026539,Sotsiaaldemokraatlik Erakond,Sotsiaaldemokraatlik Erakond,≤100
671308106236480,Eesti Konservatiivne Rahvaerakond,Eesti Konservatiivne Rahvaerakond,≤100
557413407651794,Reformierakond Lääne-Virumaal,Eesti Reformierakond,≤100
111541578402116,Tarmo Tamm Eesti 200,Tarmo Tamm,≤100
321163977576,Isamaa erakond,Isamaa erakond,≤100
377562219398154,Eesti 200,Erakond Eesti 200,≤100
1817727871852381,Lääne-Virumaa Sotsiaaldemokraadid,Sotsiaaldemokraatlik Erakond,≤100
1532805486974348,Anti Poolamets - poliitik,Poolamets Anti,≤100
1010649029140283,Siret Kotka,Eesti Keskerakond,≤100
113082581694579,Madis Joosep Toomel,Madis Joosep Toomel,≤100
102556191461116,Parempoolsed,Erakond Parempoolsed,≤100
557413407651794,Reformierakond Lääne-Virumaal,Reformierakond,≤100
676705885835663,Tapa valla Keskerakond,Eesti Keskerakond,≤100
80124492882,Reformierakond,Eesti Reformierakond,≤100
1959753937483931,"Jah vabadusele, ei valedele",SALK,≤100
107782984790166,Lääne-Virumaa Uudised,AS Äripäev,≤100
103659852057740,Aare Raam,Aare Raam,≤100
80124492882,Reformierakond,Reformierakond,≤100
358692998309693,Evelin Poolamets,Evelin Poolamets,≤100
147697508607873,Valimised Eestis,Riigi valimisteenistus,≤100
109605679062900,Eestimaa Rohelised,Eestimaa Rohelised,≤100
1246257335528640,Aarne Mäe,Aarne Mäe,≤100
597528440274709,Konservatiivne Harjumaa,Paul Puustusmaa,≤100
419827918155173,Jüri Ratas,Eesti Keskerakond,≤100
207815253105660,Reformierakond Harjumaal,Eesti Reformierakond,≤100
114004685304193,Raamatupidaja.ee,Raamatupidaja.ee,≤100
100157664754405,Ida-Viru sotsid / Соцдемы Ида-Вирумаа,Sotsiaaldemokraatlik Erakond,≤100
312422322534786,Reformierakond Kuusalus,Eesti Reformierakond,≤100
473956629748022,Olga Kurdovskaja,Olga Kurdovskaja,≤100
108398874909319,Tark Valija,Eesti Väitlusselts,≤100
421884135017254,Leo Bergström - EKRE Lääne-Virumaa kandidaat Riigikogu valimistel,Leo Bergström,≤100
110272961389791,Vaade,Vaade MTÜ,≤100
470280006366562,Järvamaa Reformierakond,Reformierakond,≤100
105205335426468,Paul Puustusmaa,Paul Puustusmaa,≤100
1494079787505198,Reformierakond Jõgevamaal,Eesti Reformierakond,≤100
468873137208405,Fermi Energia,Fermi Energia,≤100
106402085200452,Külli Tammur,Külli Tammur,≤100
161252453921396,Keskerakond,Keskerakond,≤100
597528440274709,Konservatiivne Harjumaa,Raul Siem,≤100
106801038425656,Manuela Pihlap,Manuela Pihlap,≤100
858852260806886,Reformierakond Ida-Virumaal,Eesti Reformierakond,≤100
204385319601031,Logistikauudised,AS Äripäev,≤100
503504990111763,Joosep Vimm,Joosep Vimm,≤100
593272994436767,Lauri Läänemets,Lauri Läänemets,≤100
172347382956433,Jõelähtme Reformierakond,Eesti Reformierakond,≤100
1720467724840659,Andres Laiapea,Andres Laiapea,≤100
103449042453499,Peep Peterson,Pepe Peterson,≤100
330368320498335,Reformierakond Tartumaal,Eesti Reformierakond,≤100
102853298269797,Palgauudised.ee,Palgauudised.ee,≤100
112286627948070,Madle Lippus,Madle Lippus,≤100
233123435884,Eestimaa Looduse Fond,Eestimaa Looduse Fond,≤100
111320565124173,Priit Toobal,Priit Toobal,≤100
70735295271,Terveilm,Arengukoostöö Ümarlaud,≤100
146947168749935,Riigi Infosüsteemi Amet,Riigi Infosüsteemi Amet,≤100
101991676530778,NaiRe,Reformierakond,≤100
446111129296844,Andre Hanimägi,Andre Hanimägi,≤100
1959753937483931,"Jah vabadusele, ei valedele",Sander Vesik,≤100
1473173919576991,Tööstusuudised.ee,AS Äripäev,≤100
