Page ID,Page name,Disclaimer,Amount spent (COP)
605236949886245,Ferney Silva Idrobo,Digital Tech Ideas,413963
465572140144556,Juan Diego Castrillón Orrego,Juan Diego Castrillón Orrego,190249
111304927281472,"Alcaldía Almaguer Cauca ""Continuemos Juntos""","Alcaldía Almaguer Cauca ""Continuemos Juntos""",66521
106471308875048,Partido Colombia Renaciente,Partido Colombia Renaciente,61242
605236949886245,Ferney Silva Idrobo,Ferney Silva Idrobo,33769
107787104895388,La Ópttica Popayán,La Óptica Popayán,25728
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,24919
114510821145145,Previred Popayán / Tarjeta Médica,Previred Tarjeta Médica,24647
159514754069267,Partido Cambio Radical,Partido Cambio Radical,20382
75884689790,Colectivo de Abogados y Abogadas,Colectivo de Abogados,16618
299469560099835,Alcaldía de Cali,Alcaldía de Cali,15676
110114495178992,José Rodrigo Astaiza,José Rodrigo Astaiza,14585
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,12563
804754609684421,La Voz del Pueblo,sumandolab sas,11717
101071764864119,Dulce Veneno,Dulce Veneno,9586
350160788433059,Proclama Cauca y Valle,Proclama Cauca y Valle,8958
113234113483957,Mauricio Muñoz,Mauricio Muñoz,8724
106607802258548,Victoria Santander,Victoria Santander,8639
110947284836991,Ali  Alcalde,Ali  Alcalde,7530
1147318942107929,Todos Somos Una,DEBRAIN LLC,7487
101391859627743,Colombia sin miedo,Colombia sin miedo,6214
969143216462972,Felipe Cañizalez,Felipe Cañizalez,4112
115922544823271,Miyerlandi Torres A,Miyerlandi Torres A,3522
118514924593739,Tanque Seco,Tanque seco,3178
104670935764697,Jaime Alarcon Muriel,Jaime Alarcon Muriel,2648
370492339735164,Centro Democrático - Comunidad Oficial,Centro Democrático - Comunidad Oficial,2307
1664371017157885,Cauca Humana,These ads ran without a disclaimer,1985
104850351196871,Fly - Publicidad Digital,Fly - Publicidad Digital,1826
110036132129269,Alerta Noticias,Alerta Noticias,1662
533238166689720,Instituto Técnico Imtel - Oficial,These ads ran without a disclaimer,1640
105848177845789,All Out en español,All Out Action Fund,1209
1668929590004327,Avanzoft Software Avanzado,Avanzoft Software Avanzado,1181
