Page ID,Page name,Disclaimer,Amount spent (INR)
21169267101,Give,Give,434
290805814352519,Aam Aadmi Party,Aam Aadmi Party,361
123405501008524,Mercedes-Benz India,Mercedes-Benz India,191
103978051023455,Hunsur Manjanna fans,Hunsur Manjanna fans,179
479998865355592,Aditya Birla Group,Aditya Birla Group,161
110861872278207,Asianet Suvarna News,Asianet Suvarna News,147
174283119250672,Bal Raksha Bharat,Bal Raksha Bharat,132
189271178483352,Five Lotus Indo German,Five Lotus Indo German,112
101437656247049,Modi Quotes,Modi Quotes,106
107395897271506,Kutumb,Swatantra Verma,105
132689140088396,smilefoundation,smilefoundation,102
107334185444129,Charitism Global,Charitism Global,≤100
466835200043903,उमेद अभियान - Maharashtra State Rural Livelihoods Mission,MASRLM,≤100
104736419210593,PACE INDIA,PACE INDIA,≤100
111344781888748,MH Advertising LLC,These ads ran without a disclaimer,≤100
118227367824577,Garuda Aerospace Pvt Ltd,Garuda Aerospace Pvt Ltd,≤100
797927846899300,Flag Foundation of India,Flag Foundation of India,≤100
109545244848137,Crafto,Kutumb App,≤100
102123079337554,International Society for Krishna Consciousness,ISKCON Delhi,≤100
404746486258732,Project Nanhi Kali,Project Nanhi Kali,≤100
270666596375251,Jhatkaa.org,Jhatkaa.org,≤100
207716982590230,Cipla,These ads ran without a disclaimer,≤100
640369399392914,Baijayant 'Jay' Panda,Baijayant Panda,≤100
30290552843,Greenpeace India,Greenpeace Environment Trust,≤100
1785302198354679,Dr. Somendra Tomar,Somendra Singh,≤100
791496597580042,Miracles Academy Of Arts & Media Pvt.Ltd.,Miracles Academy Of Arts & Media Pvt.Ltd.,≤100
105596701293129,Ayodhya Development Authority,Sandeep Kumar Sharma,≤100
100735178208398,Udyami India,Samadhan Samiti,≤100
153891144797146,Uttam Kumar Reddy,Ashutosh Mishra,≤100
524165647975801,Arvind Chaudhary Chintu,Arvind Choudhary,≤100
285029500623,CARE India,CARE India,≤100
104835311875381,aashutoshchouksey,These ads ran without a disclaimer,≤100
103782051383159,School of Politics,School of Politics,≤100
241940555912671,Chandigarh University,Chandigarh University,≤100
115672001487908,The Green Pillar,Stuti Singh,≤100
10150110302115599,Genesis Foundation,Genesis Foundation,≤100
333426070147135,Benny Kuriakose Associates,Benny Kuriakose Associates,≤100
449378495112356,Swades Foundation,Swades Foundation,≤100
107153958711155,South First,south Fist,≤100
200887113275448,DMK - Dravida Munnetra Kazhagam,DMK - Dravida Munnetra Kazhagam,≤100
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,≤100
2078242259060363,Kukufm,Mohana Saha,≤100
117858229917361,Karamat India,Karamat India,≤100
109470364774303,Ellorum Nammudan,DMK,≤100
106650475483675,The Borderlens,The Borderlens,≤100
385658441549334,Deepak Bhati Chotiwala,Dipak Bhati,≤100
113484060843656,The Unmute,The Unmute,≤100
101781252334419,Brandscouncil Ratings,Council for Brand Business Promotions & Research,≤100
281641215591074,Indian Bank,Goldmine Advertising Limited,≤100
683341508773936,Ram Pratap Yadav,Saurabh Yadav,≤100
394168494317389,MIT World Peace University,MIT World Peace University,≤100
448636251893672,Sarthak Educational Trust,Sarthak Educational Trust,≤100
1644165492504830,Anekal Ramoji Gowda,Ramoji Gowda,≤100
107718647577368,SADAY,These ads ran without a disclaimer,≤100
577856385582447,Raghu Sharma,Sunil Maan,≤100
354781738391591,Harender singhal,Harender singhal,≤100
1186503331379587,Kandikanti Ashok Goud,Puneet Kumar Goud Kandi Kanti,≤100
215647178487499,Oxygen The Digital Expert,Mansoor P,≤100
107014912394984,,These ads ran without a disclaimer,≤100
228661333934484,Bikram Singh Majithia,Shiromani Akali Dal,≤100
1571167366231304,Ramakant Bhargava,Saket Bhargava,≤100
109801588758607,Sanjay Tamboli,Sanjay Tamboli,≤100
1211793462230724,Zeymarine Ship Agencies & Services Co. Inc,These ads ran without a disclaimer,≤100
101189481412295,BELSA HERBALS,Sagar Vijay Ghatole,≤100
285403455681355,Railway Children India,Railway Children India,≤100
470458233479120,Aparajita Sarangi,Reach Digitally,≤100
834432743328746,Prakash Dwivedi,Prakash Chandra Dwivedi,≤100
863961040416615,Punit Verma पूर्व उपाध्यक्ष विश्व हिन्दू परिषद् काशी प्रान्त,Punit Varma,≤100
107931575229176,Kishor Mahanand,Kishor Mahanand,≤100
2095524690700560,Shirsendu Basak,Shirsendu Basak,≤100
112326528253527,Apex Online Solution,Ajay Tiwari,≤100
132806813793938,Paramjit Singh Sarna,Harjap Singh Dhingra,≤100
411129449009589,K.C. Venugopal,K.C. Venugopal,≤100
426881010719758,Soumik Hossain,Angur Shaikh,≤100
931592160313881,Pankaj Kumar Sharma,Pankaj Kumar Sharma,≤100
104521050914326,Baliram Siraskar,Baliram Siraskar,≤100
138118806735924,Pradeep Tiwari,Pradeep Tiwari,≤100
33497111948,Child Rights and You,Child Rights and You,≤100
117341424656198,Ekta Singh,Filmitics,≤100
110044260470271,Vinay Jangid Sharma,Vinay Jangid Sharma,≤100
577847985708945,Statecraft,Statecraft,≤100
105327789228958,E-Mudra Capital,Manoj Kumar Singh,≤100
104356069147271,SCG International Corporation,These ads ran without a disclaimer,≤100
1826687970879874,Haji Zameer Ullah Khan,Haji Zameer Ullah Khan,≤100
109735351891742,Apex India service,Ajay Tiwari,≤100
109470364774303,Ellorum Nammudan,Ellorum Nammudan,≤100
108015368279979,Solh Wellness,Solh Wellness,≤100
186199704897466,RD Foundation,RD Foundation,≤100
104867526497,Frontlist,Frontlist,≤100
221256415973730,Ankuram IVF,Ankuram IVF,≤100
203795313615859,PDTV News,Nagarjuna Reddy Kaipa,≤100
2159484957646626,Mahant Daleep Rawat,Daleep,≤100
100549119644561,Jo Ram Ko Laye Hain Hum Unko Layenge 2024,Jo Ram Ko Laye Hain Hum Unko Layenge 2024,≤100
558095644313561,Manish Rawat,Manish Rawat,≤100
104918521224442,Deepak Vohra,Shaad Ahmad Kabir,≤100
115297298113238,jack801111,These ads ran without a disclaimer,≤100
104656718036008,Sunita Dayal,Sunita Dayal,≤100
178390486234787,Explore Kerala,These ads ran without a disclaimer,≤100
104122195260035,Bharti Tarun Kaushik Bhaiya Ji,Tarun Kumar Kaushik,≤100
115452171516554,V. Somanna 4 Varuna,Basavachetan,≤100
109076322510196,Saviour Education Abroad,Saviour Education Abroad OPC Pvt Ltd,≤100
1149375478489344,Harvinder Singh Sarna,Harjap Singh Dhingra,≤100
106691702299765,ckhustler,These ads ran without a disclaimer,≤100
127234961352526,Abhijeet Patil - अभिजीत पाटील,Yogesh Bharat Wagaj,≤100
181877315902940,Haji Ziaul Haq,Mohd Sadab Alam Ansari,≤100
153192418171615,जनेऊँ क्रांति Janeu Kranti,Chandra Mohan,≤100
583870115333986,Chandra Vijay Singh Bhadoria,Kaushlendra Kashyap,≤100
121403697601069,Smt Shweta Chaudhary,Sparsh Jain,≤100
103443372396602,MLA Dr Raghu Sharma,Sunil Maan,≤100
108672068366317,बृजेश गुप्ता,Mukesh Singh,≤100
314178805664633,Mahaveer Gurjar,Mahavir Prasad Gurjar,≤100
524665794408050,CASA,Arushi Narchal,≤100
109666834688109,Saleem Sarang,Saleem Rafik Sarang,≤100
1706371292942156,"Ministry of Development of North Eastern Region, Government of India","Ministry of Development of North Eastern Region, Government of India",≤100
103040206040226,Dr. B S Ajaikumar's Thought Leadership,Dr. B S Ajaikumar's Thought Leadership,≤100
150727778825020,Mobius Foundation,Mobius Foundation,≤100
112331255034655,Radhey Shyam Tyagi,Radhey Shyam Tyagi,≤100
108543274952782,,Stalinudan Tamil Nadu,≤100
105813284380310,Dee4unews,Deepak Kumar Bhandari,≤100
104052978235240,Pandian For People,Abhijeet Shesh,≤100
171538063001636,Global Punjab TV,Navdeep Singh,≤100
165714096933078,Piyush Goyal,Piyush Goyal,≤100
675268652538693,Dr Dhan Singh Rawat,Dr Dhan Singh Rawat,≤100
204599692918446,Rajesh Ranjan,Rajesh Ranjan,≤100
100579492974806,Garibo Ke Modi,Garibo Ke Modi,≤100
140930379388330,Kishan Reddy Gangapuram,Kishan Reddy Gangapuram,≤100
102250202270791,Karni Singh Ladnun,Karni Singh Rathore,≤100
126173140397385,,These ads ran without a disclaimer,≤100
101895555846480,Healthy Baby App,Siddh Divyang Foundation,≤100
