Page ID,Page name,Disclaimer,Amount spent (EUR)
373213199362639,WWF Bulgaria,WWF Bulgaria,≤100
102569199428833,Мисия: София без емисии,Мисия: София без емисии,≤100
178362315106,European Parliament,European Parliament,≤100
651747871952382,Кристиян Шкварек,Krystian Szkwarek,≤100
1154764051373738,Д-р Делян Георгиев,Delyan Georgiev,≤100
107898832590939,European Commission,European Commission,≤100
235143730435932,Shell,Shell Bulgaria,≤100
170315589442,Gospodari,Gospodari,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
114063773295391,Николай Аргиров - по пътя на /р/ еволюцията,Nikolay Argirov,≤100
284609378287194,НПО портал,НПО Портал,≤100
101786686180699,Коалиция Заедно,Коалиция Заедно,≤100
502893606416105,Николай Николов,Николай Николов,≤100
384841611691600,Борислав Гуцанов,Borislav Gutsanov,≤100
166641766701870,Демократи за силна България,Democrats For Strong Bulgaria,≤100
108194222569430,U.S. Embassy Sofia,U.S. Embassy Sofia,≤100
100502688162733,За Бога и Човека,Димитър Савов,≤100
101067484628574,Cash Media,Cash Media,≤100
198601770161578,Списание Фасилитис / Facilities Magazine,Atanas Georgiev,≤100
1963710273872883,Петър Витанов / Petar Vitanov,Петър Витанов,≤100
216818831712803,ЕКИП,ЕКИП,≤100
1036817196347632,Клин/Клин,Калоян Константинов,≤100
103439391741697,Обединени Християндемократи,Димитър Савов,≤100
100113979589573,Програма Генерация,ГЕНЕРАЦИЯ програма,≤100
110524007015828,Димитър Вучев,Dimitar Vuchev,≤100
1614684092127946,Китай без цензура,Китай без цензура,≤100
103799929101063,Сдружение „Евро Адванс“ / Euro Advance Association,Euro Advance Association,≤100
190741571096581,Петър Славов,Peter Slavov,≤100
196869257582,Еко Новини,Еко Новини,≤100
111333360442990,David Aleksandrov,Давид Александров,≤100
94322983459,SOS Locksmith,Nikolov Youlian,≤100
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,≤100
1458646187743756,Йордан Йорданов,Yordan Yordanov,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
616037371822038,Marginalia,Marginalia,≤100
320061771515533,Младежи ГЕРБ,Коалиция ГЕРБ-СДС,≤100
288319397857740,Just Smile ツ,These ads ran without a disclaimer,≤100
954410811419724,Лицата на неродените пеперуди/The faces of the unborn butterflies,These ads ran without a disclaimer,≤100
