Page ID,Page name,Disclaimer,Amount spent (MXN)
923633637651202,Morena Sí,Morena Sí,10979
264390613659850,Adrián Rubalcava Suárez,Adrian Rubalcava,3313
213054628856737,Movimiento Ciudadano Ciudad de México,Movimiento Ciudadano,3228
56713285274,Greenpeace México,Greenpeace México,3119
231602417391989,Janecarlo Lozano,Janecarlo Lozano,2640
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,2469
1621607258157280,Noticias - Sur de México,Noticias Sur,2114
105097171575007,La LOCAL Mx,La LOCAL Mx,1893
104680124489636,Demoscopia Digital,Demoscopia Digital,1749
109634395756375,Save the Children México,Save the Children México,1705
408978686187226,Notas al chile,Notas al Chile,1374
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,1277
208743749651773,NoticiasParadigma,Noticias Paradigma,1197
106159885479677,Las Noticias México,Las Noticias México,1163
101267031439463,Voz de las Empresas,Consejo de la Comunicación,1097
48966795116,Amnistía Internacional México,Amnistía Internacional México,1041
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,997
303184083041100,Gobierno del Estado de Yucatán,Gobierno del Estado de Yucatán,920
107545594505870,Perfekto,Perfekto,898
333932057250036,Alejandro Rojas Díaz Durán,ARDD,810
131763133152028,Avanzando el Plan C,Apolo Mayorga Galindo,801
198623844282,COPARMEX Ciudad de México,COPARMEX Ciudad de México,735
110909187749711,,IMPRONTE,728
1861550397441449,Revista32,Revista32,675
264773293005,Marko Cortés,Marko Cortés,648
1297159123630144,Ulises Ruiz Ortiz,Ulises Ernesto Ruiz Ortiz,585
112507801521278,VEMO,VEMO,547
2330030160374237,Balance 24,Balance 24,529
103769542576820,Quintanarroense Hoy,Quintanarroense Hoy,512
589484077738887,Jorge Álvarez Máynez,Estudio Bocadillo,501
254852601222832,CEMEX México,CEMEX México,416
104800055232221,Electoralia,electoralia,410
102724752608138,Mexiquenses Unidos con Adán,Mexiquenses Unidos con Adán,407
350365691762287,Agrupación Ciudadana por la Despenalización del Aborto El Salvador,These ads ran without a disclaimer,396
114158248252278,Convocatorias 2023,Convocatorias 2023,372
2059420467624770,El Tecolote Diario,El Tecolote Diario,361
469246976533189,Santiago Creel,SantiagoCreelM,342
1570126169927933,Delfina Gómez Álvarez,Delfina Gómez Álvarez,336
101517436136014,Americasmobilityofthefuture,Marco Antonio Alvarez Cruz,291
102551913153712,Ricardo Monreal A.,Ricardo Monreal Ávila,289
174058432636166,El Deforma,El Deforma,288
1415863341806268,DMC - Music Center,CENTRO DE ENCUENTRO ARTÍSTICO DMC A.C.,278
108737448471399,Altavoz Web,Altavoz Web,276
105121875731197,Consumidor Informado Mx,Consumidor Informado Mx,269
108294125496345,Tlahuita la Bella,Tlahuita la Bella,267
102268952205344,Noticias México,Kimberley Lisset Martinez Alanis,261
104065375986923,La Politigrería,Antonio Jair Diaz Calderon,252
503029186533760,Osoigo México,Osoigo México,246
101740722540217,Todo Tláhuac,Todo Tláhuac,221
100539512991362,Yo con Ella,Jessica Hernandez Martinez,220
261548570655865,Juan Angel Flores Bustamante,Juan Ángel Flores Bustamante,212
101202725148632,Armando Zuñiga Salinas,GRUPO IPS,197
345995382241686,PODER 360,PODER 360,194
213247992038369,Academia de Ballet Felipe Méndez,Felipe Méndez,188
133478060111915,CEMEX Impacto Social,CEMEX México,179
122404620204,Oxfam México,OXFAM MEXICO AC,176
111024680681758,Universidad Contemporánea de las Américas Frónesis Plantel Ciudad de México,Universidad Contemporánea de las Américas Frónesis Plantel Ciudad de México,169
1545555582174942,TResearch,TResearch,169
493453457351145,Coparmex Nacional,Coparmex Nacional,160
561934300901737,H. Ayuntamiento de Tepeaca,H. Ayuntamiento de Tepeaca,158
326647354840146,Sergio Gutiérrez Luna,Sergio Gutiérrez Luna,151
110433190536865,Colegio Universitario MIIB,Colegio Universitario MIIB,146
285058928236909,Mauricio Vila,Mauricio Vila,140
109926551951416,UNNA_Infancia,Victor Velasco,140
111722858536644,Al Frente por Edomex,Al Frente por Edomex,135
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,126
1514466245542140,América Rangel,AMERICA RANGEL,118
844135105741974,Satelite Travel Services,SATELITE TRAVEL,117
458859544909547,DICES,DICES,113
116437828394342,Phiten Mexico,Phiten Mexico,111
543830382749706,Compromiso Social Mx,Compromiso Social Mx,110
102107279495045,Las netas,LASNETAS.ORG,109
147751821930575,Salud Digital Fundación Carlos Slim,Fundación Carlos Slim,108
109573938764758,Con Claudia hasta el Final,Ana Maria Torres Rivera,108
109896661873670,Bienestar México,Bienestar México,107
1415691342026378,Fundación Carlos Slim,Fundación Carlos Slim,106
105848177845789,All Out en español,All Out,≤100
101128435630238,Química y Formulación,Química y Formulación,≤100
116301771417606,Con AMLO y Claudia Hasta la Victoria,Maria Del Carmen Ramirez Pichardo,≤100
103182562158410,Ignacio Mier Velazco,Ignacio Mier Velazco,≤100
127128043964568,Posgrados y Educación Continua del Tecnológico de Monterrey,Adrián Reynoso,≤100
936003293273572,Nexo Político,Nexo Político,≤100
465777803515977,Poncho Gutiérrez,Poncho Gutiérrez,≤100
34767149008,Tecnológico de Monterrey,Tecnológico de Monterrey,≤100
112366181686258,Mexicanos al grito por la democracia,Mexicanos al grito por la democracia,≤100
318695938319703,Alfonso Ramírez Cuéllar,José Coronel,≤100
496096610569383,Diputados en Acción CDMX,Diputados en Acción,≤100
1520610478183053,Badabun,Vanessa Rivera,≤100
112258358404104,Público,Público,≤100
1857761427782780,IAS Automation,INNOVATIVE AUTOMATION SOLUTIONS,≤100
1086864884768084,Santiago Torreblanca,Santiago Torreblanca Engell,≤100
108176578917695,El Bienestar de México,Julio Rodríguez,≤100
76493377923,Colegio Europeo de México RS,These ads ran without a disclaimer,≤100
111384883908220,Academia Educativa,These ads ran without a disclaimer,≤100
257333027729841,Julieta Ramírez,Julieta Ramirez,≤100
103146715098739,Jaime Acevedo,INGENIO,≤100
148709191834718,Alcaldes de México,Alcaldes de México,≤100
300012556733023,Católicas México,Mario Bernal Gomez Llanos,≤100
196705420663884,Código Magenta,Código Magenta,≤100
108952945073000,Daniel Montiel Tlalnepantla,Daniel Montiel Luna,≤100
381985873573,Partido de la Revolución Democrática PRD,Partido de la Revolución Democrática,≤100
106104551569591,Giovani Gutiérrez,GIOVANI GUTIERREZ,≤100
105533795460071,Norte Monrealista,Norte Monrealista,≤100
110232781141466,Quincena Revista,Alberto Perez Leyva,≤100
101701991930418,UNIDEV,UNIDEV,≤100
110073740357039,Mario Arellano,Mario Arellano Bustos,≤100
102786396117647,Consolidemos la Transformación,Angelica Ledezma Estrada,≤100
106853071237547,Óscar Gutiérrez Camacho,Óscar Gutiérrez,≤100
109130204053554,Alas para el Cambio,Alas para el Cambio,≤100
130816463246126,Nortimex,Gerardo Soberanes,≤100
177319665650476,ClikiSalud - Fundación Carlos Slim,Fundación Carlos Slim,≤100
100513488319963,Comité Nacional de Jóvenes Por México a.c,Comité Nacional de Jóvenes Por México a.c,≤100
105735142357697,Panistas por México,Panistas por México,≤100
235606900176440,Macronews,Macronews,≤100
107496941609799,Tredy,These ads ran without a disclaimer,≤100
882120822128618,Patricio Lozano,Patricio Lozano,≤100
102491086147029,La 4T avanza,Maria Virginia Escalona Castro,≤100
104679845738578,La Rebelión de la Clase Media,Velasco & Solá,≤100
100912992973625,La Política Actual,Josefina Garcia Saldaña,≤100
1052054228168651,Daniel Montiel Luna,Daniel Montiel Luna,≤100
138350596230547,GIRE - Grupo de Información en Reproducción Elegida,Menu Agency,≤100
105371694526107,Raymundo Ramírez Pompa Corrupción en Nuevo León,Raymundo Ramírez Pompa,≤100
245495562137150,Mitofsky,Roy Campos,≤100
620611228034083,Rabindranath Salazar Solorio,Rabindranath Salazar Solorio,≤100
961310490582166,FeliFer Macías,Felipe Macías,≤100
1697408507031644,Alex Peña Villa,Atmosfera Virtual,≤100
196493763808241,CEEY,CENTRO DE ESTUDIOS ESPINOSA YGLESIAS,≤100
107296958535185,U-Report México Uniendo Voces,U-Report México Uniendo Voces,≤100
233652128065243,Goberna México,Goberna Consultoría Política,≤100
640987292668055,Daniel Sibaja,Daniel Sibaja,≤100
111978535209645,Ciudad de México con Claudia,Maximizando Ideas,≤100
104546498723247,Mauricio Cantú,Mauricio Cantú,≤100
303326963065425,Héctor Saúl,Hector Saul Tellez Hernandez,≤100
411235336284306,Empresarios por la Cuarta Transformación,"Empresarios 4T, Asociación Civil",≤100
1834107960160586,Marco A. Mendoza Bustamante,Marco Antonio Mendoza Bustamante,≤100
629051880499141,Escuela de Periodismo Carlos Septién García. Oficial,These ads ran without a disclaimer,≤100
636669016755546,Librería “La Cháchara Periférica”,Emilio Ivan Montaño Pereda,≤100
681291175575804,Visible,Lievant Studio,≤100
1695167424058348,Teresa Castell,Maria Teresa Castell De Oro,≤100
116678371399741,Mónica Chávez Durán,Mónica Chávez Durán,≤100
421877377878288,Municipio de Querétaro,Municipio de Querétaro,≤100
2114365475499998,Rafael Johnvany Rivera López,Rafael Johnvany Rivera López,≤100
182252948625872,Los Rescatadores,"Refleacciona con Responsabilidad, A.C.",≤100
103533465483263,Centro de Estudios y Capacitación Integral en Nutrición,Alfredo Esquivel Villeda,≤100
924215500923867,Lucy Meza,Lucy Meza,≤100
652909794741436,Tania Valentina Rodriguez,Tania Valentina Rodriguez,≤100
407868429421487,Juan Manuel Hernández Niebla,Juan Manuel Hernández Niebla,≤100
731169227024204,Blanca Piña,Senadora Blanca Estela Piña Gudiño,≤100
140795939947196,Selina Trujillo,Selina Trujillo Arizmendi,≤100
104621811930420,Ricardo ICázares,Ricardo Ibarra Cázares,≤100
2319318891615602,0MG Noticias,These ads ran without a disclaimer,≤100
107727682047392,XunMexicodeverdad,X UN MÉXICO DE VERDAD,≤100
103806271826947,Monica Cruz Oficial,Brenda Ivonne Gonzalez Romero,≤100
756397431107703,Omar Ortega Álvarez,Omar Ortega Álvarez,≤100
990668231016708,Diplomado Comunicación Política y Campañas Electorales UAM Xochimilco,Adrian Hernandez Alanis,≤100
102863700463398,Pepe Couttolenc,Partido Verde EDOMEX,≤100
1528235827246797,Yucatán al Momento,Yucatán Al Momento,≤100
115540694483809,pretawolzak,These ads ran without a disclaimer,≤100
102393536157012,La patria con la 4T,Lidia Lopez Rodriguez,≤100
478291252519331,Mente en blanco,Mente en Blanco,≤100
710439142491735,Aldo Ruiz,Tintorama Digital,≤100
245312236032712,Parametría Bajío,Atmósfera Virtual,≤100
2224502900946392,Diplomados UNAM- Congreso.,Martin Vera,≤100
220612165082734,Save Democracy,Save Democracy LLC,≤100
338577189813578,Oscar González Yáñez,Oscar González Yáñez,≤100
101212808784634,República 21,Rosa Eugenia Diaz Biones,≤100
107213894717040,Volumen.com.mx,Volumen Entretenimiento S. A. de C. V.,≤100
958870487481286,NORMEXsc,These ads ran without a disclaimer,≤100
185702296375261,Mexicómo,MEXICOMO,≤100
187408468118775,Jorge Torres #elbrecho,Brecha Comunicación,≤100
116148341441527,Amlopolis 4T Y MAS,Mario Raul Samano Alvarado,≤100
162600991061725,Jucat MX,These ads ran without a disclaimer,≤100
384495964895391,Willy Ochoa,Eduardo Díaz,≤100
120923597592109,Hoy Sí Mx,Consejo de la Comunicación,≤100
771067819609914,Edurne Ochoa,Edurne Ochoa Ledesma,≤100
315659968914693,FICEM,These ads ran without a disclaimer,≤100
105324158951762,Morena TV,Morena TV,≤100
144969959396436,Jonathan Avalos Rodríguez,Jonathan Avalos Rodríguez,≤100
1659302840958696,Vota por Ti,Vota por Ti,≤100
813742525470115,Pemex Picacho Emilio Portes Gil Tlalpan,Ivette Díaz,≤100
101988355020626,Escritura tu casa Naucalpan,Daniel Montiel Luna,≤100
102914624686560,Viral Pedro Manuel Galarza,Pedro Manuel Gil Galarza,≤100
2291772941138531,Alex Gamiño,José Luis Reyes Yarzabal,≤100
206604539439888,Luis Nava,Luis Nava,≤100
113834481574038,aofmexico,These ads ran without a disclaimer,≤100
101932341204548,Activistas MX,Fernando Rocha Rosario,≤100
695261801312971,Revista Encuentro en Acción,Revista Encuentro en Acción,≤100
107020672147342,José Miguel Martínez Campos,Gabriel Hernandez,≤100
1614410865470755,Columnas de México,Columnas de México,≤100
111980355074733,Adriana Grajales Gómez,Adriana Grajales Gómez,≤100
171494803269262,Noticias México,euthenics,≤100
100292189692498,Prepa virtual SEP Mexico,Unidev Universidad SC,≤100
100438011455895,Alejandro Oaxaca,Alejandro Oaxaca Carreón,≤100
2340595106035117,Ismael Brito Mazariegos,Ismael Brito Mazariegos,≤100
1600881303533199,The QAlliance,Q Alliance,≤100
477874639002114,Joaquín López-Dóriga,PLATAFORMA DIGITAL JOAQUIN LOPEZ DORIGA. S. DE R.L. DE C.V,≤100
101295992671758,Libertarismo México,México Libertario,≤100
107732841148576,Esteban Abraham Macari,Esteban Abraham Macari,≤100
409800789114458,Antonio Pelón Cervera,Macronews,≤100
108276755314662,Portal Ciudadano de la Cámara de Diputados,Portal Ciudadano de la Cámara de Diputados,≤100
239726076054918,Partido del Trabajo México,Partido del Trabajo México,≤100
407906039775846,Dra Soledad Chavez,These ads ran without a disclaimer,≤100
1176628419094356,Navor Rojas,Cynthia Aylin Lopez Suárez,≤100
103984998232953,Dino Madrid,Enedino Sanchez Madrid,≤100
545589668825303,Nuestra Zona Colonos,Patricia Raquel Andrade Barajas,≤100
101740711752535,RUBRUM,Multipoll S.A. de C.V.,≤100
111810526917005,Leticia Olivares Jiménez,Faustino Damian Claudio,≤100
165760267285896,Fernando Alvarez,Fernando Alvarez,≤100
107246651146583,Ariana García Vidal,These ads ran without a disclaimer,≤100
1522195418029530,Político MX,Político MX,≤100
618999065395266,Mérida sin censura,Mérida sin censura,≤100
102271392144722,Quique Fans,Juan Manuel Miranda Ramirez,≤100
105925314120759,Mario Bracamonte,Julián Reynoso Mazoy,≤100
100290215079895,Monica Escalera,Monica Escalera,≤100
909433945747355,Sandra Pámanes,Sandra Pámanes,≤100
