Page ID,Page name,Disclaimer,Amount spent (EUR)
178362315106,European Parliament,European Parliament,≤100
373213199362639,WWF Bulgaria,WWF Bulgaria,≤100
1648096958816379,"Да, България","Да, България",≤100
103013292419444,Михал Камбарев,Михал Камбарев,≤100
112598698012224,Кажи честно с Ани,Anelia Duleva,≤100
144072035778,Четири лапи,These ads ran without a disclaimer,≤100
115008292450837,КАЖИ,КАЖИ,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
146955527905,EU Civil Protection & Humanitarian Aid,These ads ran without a disclaimer,≤100
1560928537284555,Vladislav Panev,Panev Vladislav,≤100
324356301333631,Антикорупционен фонд,Anti-Corruption Fund,≤100
122107129184600,Svetozar Madzhov - доц. Светозар Маджов - Демократична България,Svetozar Madzhov,≤100
110632484871987,В търсене на истината,В търсене на истината,≤100
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,≤100
274783042565155,Уча.се,These ads ran without a disclaimer,≤100
444930982267001,Kирилова Цвета,Tsveta Kirilova,≤100
163350039852,Европейски парламент в България,Европейски парламент в България,≤100
207544111264,Mediapool.bg,Mediapool.bg,≤100
651747871952382,Кристиян Шкварек,Krystian Szkwarek,≤100
105914987965667,Легенди / Legends,Веселин Вълчев,≤100
108868544621813,Цанко Арабаджиев,Tsanko Arabadzhiev,≤100
110524007015828,Димитър Вучев,Dimitar Vuchev,≤100
322229356712,ЕКОПАК България АД,ЕКОПАК България АД,≤100
168165046713893,МГЕРБ - София,Коалиция ГЕРБ-СДС,≤100
213386875678475,ГЕРБ - Смолян,Коалиция ГЕРБ-СДС,≤100
686195611462532,ГЕРБ - Кърджали,Коалиция ГЕРБ-СДС,≤100
109286664962204,Йордан Терзийски,Yordan Terziyski,≤100
174946829211086,ГЕРБ - Благоевград,Коалиция ГЕРБ-СДС,≤100
639420676160607,ГЕРБ - Силистра,Коалиция ГЕРБ-СДС,≤100
45771311028,Мартин Димитров,Martin Dimitrov,≤100
1036817196347632,Клин/Клин,Калоян Константинов,≤100
103254705299587,Даниел Митов,Коалиция ГЕРБ-СДС,≤100
153438071384209,DNES by dir.bg,Dir.bg,≤100
86892662264,Ютилитис (Utilities),Atanas Georgiev,≤100
1456221634613364,ГЕРБ - Пазарджик,Коалиция ГЕРБ-СДС,≤100
470560413107657,ГЕРБ - Шумен,Коалиция ГЕРБ-СДС,≤100
197503727263786,Siemens България,These ads ran without a disclaimer,≤100
879946662058927,ГЕРБ - Търговище,ПП ГЕРБ,≤100
565497246807650,ГЕРБ - Бургас,Коалиция ГЕРБ-СДС,≤100
100222812476503,Невидими животни,Невидими животни,≤100
190741571096581,Петър Славов,Peter Slavov,≤100
409484042460989,ГЕРБ - Пловдив област,Коалиция ГЕРБ-СДС,≤100
229586070497595,ГЕРБ - Стара Загора,Коалиция ГЕРБ-СДС,≤100
572486973244463,ГЕРБ - София област,Коалиция ГЕРБ-СДС,≤100
1260394000692583,ГЕРБ - Ямбол,Коалиция ГЕРБ-СДС,≤100
268313163283362,ГЕРБ - Добрич,Коалиция ГЕРБ-СДС,≤100
1456643971252496,ГЕРБ - Сливен,Коалиция ГЕРБ-СДС,≤100
544860025671476,ГЕРБ - Разград,Коалиция ГЕРБ-СДС,≤100
195547920622446,ГЕРБ - Русе,Коалиция ГЕРБ-СДС,≤100
631020226923156,ГЕРБ - Хасково,Коалиция ГЕРБ-СДС,≤100
2779309075418363,ГЕРБ - Варна,Коалиция ГЕРБ-СДС,≤100
135633620205132,Ясмина ЕООД,Димитър Михов,≤100
239398666862456,Място България,Място България - BG Бъди активен,≤100
110230707522435,ГЕРБ - Видин,Коалиция ГЕРБ-СДС,≤100
109444442007583,14wordsshop,These ads ran without a disclaimer,≤100
218461415015757,ГЕРБ - Ловеч,Коалиция ГЕРБ-СДС,≤100
964926116915133,"Cat Construction Europe, Middle East & Africa",These ads ran without a disclaimer,≤100
