Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
102557421628605,Media Empowerment for a Democratic Sri Lanka - MEND,IREX MEND,≤100,4
1452697288291768,Anuradha Wimalaratne,Anuradha Wimalaratne,≤100,2
104835755774891,ගොඩයමු - Godayamu,The Godayamu Collective,≤100,3
101980502240710,Manju Nishshanka,Manju Nishshanka,≤100,1
528310547280003,Bro - බ්රෝ,Bro - බ්රෝ,≤100,1
615715978614911,Shiraz Yoonus,Shiraz Yoonus,≤100,2
107384742126815,DVA For Animal Welfare Bill Sri Lanka,Dharma Voices for Animals,≤100,1
1455075774809484,Hashtag Generation,Hashtag Generation,≤100,3
106323538852023,Sumudu Jayanee,Sumudu Jayanee,≤100,1
423959844449548,Naseer Ahamed,Naseer Ahamed,≤100,1
107341371550141,Arogya Herbal,Arogya Herbal,≤100,1
160578147843,Metropolitan College,Mohammed Ismail Mohammed Ihzaz,≤100,1
923140217744211,Yukthiya,Chandra Jayaweera Amaratunge,≤100,1
104856048635116,New Citizen TV,Girindu Jayakethu Gunawardena,≤100,1
435761629822155,Commonwealth Foundation,These ads ran without a disclaimer,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,1
68916609029,Namal Rajapaksa,Namal Rajapaksa,≤100,1
106600522359874,உங்களில் ஒருவன் றொஜன் AKR,Jeeva Jeyatheesan Anto Jeyanth,≤100,1
251506325318193,Binara Jayawardena,Binara Jayawardena,≤100,1
188765731170141,LMD,LMD,≤100,2
101843392830188,Michael Shanthikumar,Michael Shanthikumar,≤100,1
103795325039609,Vevoo,These ads ran without a disclaimer,≤100,1
882871815186453,ඇඩ්වොකාටා AdvocataPlus,Advocata Institute,≤100,1
102965288106322,Ape Udarata - අපේ උඩරට,Ape Udarata - අපේ උඩරට,≤100,1
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100,1
112245054862768,Climate Fact Checks,These ads ran without a disclaimer,≤100,1
103026245334754,Samagi Jana Balawegaya - Jaffna District,Samagi Jana Balawegaya - Jaffna District,≤100,1
109662488246997,Explore Haikou,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,4
100100416284085,Js_m4,These ads ran without a disclaimer,≤100,1
112746555000094,Js_m3,These ads ran without a disclaimer,≤100,1
98876727842,Cummins Inc,These ads ran without a disclaimer,≤100,2
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
118039571217914,Frx-3/02-16,These ads ran without a disclaimer,≤100,1
435272526866135,North American Kurdish Alliance - NAKA,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,2
